:START_ID,:END_ID,:TYPE,evidence,evidence_location,references
e55,e52,CAUSES,Hybrid peptides generated by the fusion of non-contiguous sequences from the same proteins or from distinct partners have also been described. This so-called transpeptidation process was originally reported to generate CD8+ T cell epitopes through the proteasome pathway.,212,"Delong T, Wiles TA, Baker RL et al (2016) Pathogenic CD4 T cells in type 1 diabetes recognize epitopes formed by peptide fusion. Science 351(6274):711-714. https://doi.org/10.1126/science.aad2791 | Vigneron N, Stroobant V, Chapiro J et al (2004) An antigenic peptide produced by peptide splicing in the proteasome. Science 304(5670):587-590. https://doi.org/10.1126/science.1095522 | Wan X, Vomund AN, Peterson OJ, Chervonsky AV, Lichti CF, Unanue ER (2020) The MHC-II peptidome of pancreatic islets identifies key features of autoimmune peptides. Nat Immunol 21(4):455-463. https://doi.org/10.1038/s41590-020-0623-7"
e54,e53,TRIGGERS,"A similar shunting towards the HLA-I pathway may take place under inflammatory conditions, in which glucose-stimulated insulin secretion is downregulated and unused granules are degraded through crinophagy.",202,
e1,e41,RELEASES,"chemokines (e.g. CCL2 and CXCL10) released by beta cells, which further attract and activate immune cells.",252,"Eizirik DL, Colli ML, Ortis F (2009) The role of inflammation in insulitis and beta-cell loss in type 1 diabetes. Nat Rev Endocrinol 5(4):219-226. https://doi.org/10.1038/nrendo.2009.21"
e1,e42,RELEASES,"chemokines (e.g. CCL2 and CXCL10) released by beta cells, which further attract and activate immune cells.",252,"Eizirik DL, Colli ML, Ortis F (2009) The role of inflammation in insulitis and beta-cell loss in type 1 diabetes. Nat Rev Endocrinol 5(4):219-226. https://doi.org/10.1038/nrendo.2009.21"
e41,e2,ATTRACTS,"chemokines (e.g. CCL2 and CXCL10) released by beta cells, which further attract and activate immune cells.",252,"Eizirik DL, Colli ML, Ortis F (2009) The role of inflammation in insulitis and beta-cell loss in type 1 diabetes. Nat Rev Endocrinol 5(4):219-226. https://doi.org/10.1038/nrendo.2009.21"
e42,e2,ATTRACTS,"chemokines (e.g. CCL2 and CXCL10) released by beta cells, which further attract and activate immune cells.",252,"Eizirik DL, Colli ML, Ortis F (2009) The role of inflammation in insulitis and beta-cell loss in type 1 diabetes. Nat Rev Endocrinol 5(4):219-226. https://doi.org/10.1038/nrendo.2009.21"
e59,e6,ATTRACTS,beta cell death releases self-DNA and recruits neutrophils to the pancreas.,257,"Diana J, Simoni Y, Furio L et al (2013) Crosstalk between neutrophils, B-1a cells and plasmacytoid dendritic cells initiates autoimmune diabetes. Nat Med 19(1):65-73. https://doi.org/10.1038/nm.3042"
e6,e7,ACTIVATES,"The concerted action of self-DNA, anti-DNA antibodies and DNA-binding anti-microbial peptides secreted by neutrophils activates plasmacytoid dendritic cells.",259,"Diana J, Simoni Y, Furio L et al (2013) Crosstalk between neutrophils, B-1a cells and plasmacytoid dendritic cells initiates autoimmune diabetes. Nat Med 19(1):65-73. https://doi.org/10.1038/nm.3042"
e7,e37,RELEASES,"activates plasmacytoid dendritic cells, leading to IFN-alpha production and amplification of the autoimmune response through T cell recruitment.",261,"Diana J, Simoni Y, Furio L et al (2013) Crosstalk between neutrophils, B-1a cells and plasmacytoid dendritic cells initiates autoimmune diabetes. Nat Med 19(1):65-73. https://doi.org/10.1038/nm.3042"
e37,e12,TRIGGERS,IFN-alpha plays a key role in early insulitis by linking the activation of innate and adaptive immunity.,263,
e37,e2,ATTRACTS,amplification of the autoimmune response through T cell recruitment.,,"Diana J, Simoni Y, Furio L et al (2013) Crosstalk between neutrophils, B-1a cells and plasmacytoid dendritic cells initiates autoimmune diabetes. Nat Med 19(1):65-73. https://doi.org/10.1038/nm.3042"
e37,e33,UPREGULATES,inflammatory cytokines upregulate HLA-I expression on beta cells and increase the number of peptides presented for scanning and recognition by CD8+ T cells.,269,"Gonzalez-Duque S, Azoury ME, Colli ML et al (2018) Conventional and neo-antigenic peptides presented by beta cells are targeted by circulating naive CD8+ T cells in type 1 diabetic and healthy donors. Cell Metab 28(6):946-960. https://doi.org/10.1016/j.cmet.2018.07.007"
e38,e33,UPREGULATES,inflammatory cytokines upregulate HLA-I expression on beta cells and increase the number of peptides presented for scanning and recognition by CD8+ T cells.,269,"Gonzalez-Duque S, Azoury ME, Colli ML et al (2018) Conventional and neo-antigenic peptides presented by beta cells are targeted by circulating naive CD8+ T cells in type 1 diabetic and healthy donors. Cell Metab 28(6):946-960. https://doi.org/10.1016/j.cmet.2018.07.007"
e39,e33,UPREGULATES,inflammatory cytokines upregulate HLA-I expression on beta cells and increase the number of peptides presented for scanning and recognition by CD8+ T cells.,269,"Gonzalez-Duque S, Azoury ME, Colli ML et al (2018) Conventional and neo-antigenic peptides presented by beta cells are targeted by circulating naive CD8+ T cells in type 1 diabetic and healthy donors. Cell Metab 28(6):946-960. https://doi.org/10.1016/j.cmet.2018.07.007"
e77,e13,BIOMARKER_FOR,an IFN-alpha signature precedes the appearance of autoantibodies in the peripheral blood and may be associated with neutrophils.,272,"Kallionpaa H, Elo LL, Laajala E et al (2014) Innate immune activity is detected prior to seroconversion in children with HLA-conferred type 1 diabetes susceptibility. Diabetes 63(7):2402-2414. https://doi.org/10.2337/db13-1775 | Ferreira RC, Guo H, Coulson RM et al (2014) A type I interferon transcriptional signature precedes autoimmunity in children genetically at risk for type 1 diabetes. Diabetes 63(7):2538-2550. https://doi.org/10.2337/db13-1777"
e37,e49,CAUSES,"IFN-alpha induces greater ER stress in beta cells compared with IFN-gamma, which translates into apoptosis only upon concomitant exposure to IL-1beta.",277,"Marroqui L, Dos Santos RS, Op de Beeck A et al (2017) Interferon-alpha mediates human beta cell HLA class I overexpression, endoplasmic reticulum stress and apoptosis, three hallmarks of early human type 1 diabetes. Diabetologia 60(4):656-667. https://doi.org/10.1007/s00125-016-4201-3"
e37,e35,UPREGULATES,"IFN-alpha and IFN-gamma upregulate beta cell expression not only of chemokines and HLA-I, but also of programmed cell death ligand 1 (PD-L1).",282,"Marroqui L, Dos Santos RS, Op de Beeck A et al (2017) Interferon-alpha mediates human beta cell HLA class I overexpression, endoplasmic reticulum stress and apoptosis, three hallmarks of early human type 1 diabetes. Diabetologia 60(4):656-667. https://doi.org/10.1007/s00125-016-4201-3"
e38,e35,UPREGULATES,"IFN-alpha and IFN-gamma upregulate beta cell expression not only of chemokines and HLA-I, but also of programmed cell death ligand 1 (PD-L1).",282,"Osum KC, Burrack AL, Martinov T et al (2018) Interferon-gamma drives programmed death-ligand 1 expression on islet beta cells to limit T cell function during autoimmune diabetes. Sci Rep 8(1):8295. https://doi.org/10.1038/s41598-018-26471-9 | Colli ML, Hill JLE, Marroqui L et al (2018) PDL1 is expressed in the islets of people with type 1 diabetes and is up-regulated by interferons-alpha and-gamma via IRF1 induction. EBioMedicine 36:367-375. https://doi.org/10.1016/j.ebiom.2018.09.040"
e35,e2,INHIBITS,"PD-L1, which is hyper-expressed in the beta cells of type 1 diabetic patients, possibly reflecting an active yet insufficient peripheral tolerance mechanism through programmed cell death protein 1 (PD-1) binding and T cell inhibition.",286,"Osum KC, Burrack AL, Martinov T et al (2018) Interferon-gamma drives programmed death-ligand 1 expression on islet beta cells to limit T cell function during autoimmune diabetes. Sci Rep 8(1):8295. https://doi.org/10.1038/s41598-018-26471-9 | Colli ML, Hill JLE, Marroqui L et al (2018) PDL1 is expressed in the islets of people with type 1 diabetes and is up-regulated by interferons-alpha and-gamma via IRF1 induction. EBioMedicine 36:367-375. https://doi.org/10.1016/j.ebiom.2018.09.040"
e36,e2,INHIBITS,peripheral tolerance mechanism through programmed cell death protein 1 (PD-1) binding and T cell inhibition.,287,"Osum KC, Burrack AL, Martinov T et al (2018) Interferon-gamma drives programmed death-ligand 1 expression on islet beta cells to limit T cell function during autoimmune diabetes. Sci Rep 8(1):8295. https://doi.org/10.1038/s41598-018-26471-9 | Colli ML, Hill JLE, Marroqui L et al (2018) PDL1 is expressed in the islets of people with type 1 diabetes and is up-regulated by interferons-alpha and-gamma via IRF1 induction. EBioMedicine 36:367-375. https://doi.org/10.1016/j.ebiom.2018.09.040 | Ehlers MR (2018) Who let the dogs out? The ever-present threat of autoreactive T cells. Sci Immunol 3(20):eaar6602. https://doi.org/10.1126/sciimmunol.aar6602"
e81,e36,INHIBITS,Therapeutic anti-PD-1/PD-L1 antibodies are increasingly used for treating cancers that evade immune surveillance by overexpressing PD-L1.,289,"Stamatouli AM, Quandt Z, Perdigoto AL et al (2018) Collateral damage: insulin-dependent diabetes induced with checkpoint inhibitors. Diabetes 67(8):1471-1480. https://doi.org/10.2337/dbi18-0002"
e82,e35,INHIBITS,Therapeutic anti-PD-1/PD-L1 antibodies are increasingly used for treating cancers that evade immune surveillance by overexpressing PD-L1.,289,"Stamatouli AM, Quandt Z, Perdigoto AL et al (2018) Collateral damage: insulin-dependent diabetes induced with checkpoint inhibitors. Diabetes 67(8):1471-1480. https://doi.org/10.2337/dbi18-0002"
e81,e11,TRIGGERS,"8-10% of treated patients develop endocrine autoimmune disorders, e.g. hypophysitis, thyroiditis, adrenal disease and, in 0.4-0.9% of patients, a fulminant form of diabetes.",292,"Stamatouli AM, Quandt Z, Perdigoto AL et al (2018) Collateral damage: insulin-dependent diabetes induced with checkpoint inhibitors. Diabetes 67(8):1471-1480. https://doi.org/10.2337/dbi18-0002"
e81,e14,TRIGGERS,"8-10% of treated patients develop endocrine autoimmune disorders, e.g. hypophysitis, thyroiditis, adrenal disease.",292,"Stamatouli AM, Quandt Z, Perdigoto AL et al (2018) Collateral damage: insulin-dependent diabetes induced with checkpoint inhibitors. Diabetes 67(8):1471-1480. https://doi.org/10.2337/dbi18-0002"
e81,e15,TRIGGERS,"8-10% of treated patients develop endocrine autoimmune disorders, e.g. hypophysitis, thyroiditis, adrenal disease.",292,"Stamatouli AM, Quandt Z, Perdigoto AL et al (2018) Collateral damage: insulin-dependent diabetes induced with checkpoint inhibitors. Diabetes 67(8):1471-1480. https://doi.org/10.2337/dbi18-0002"
e81,e16,TRIGGERS,"8-10% of treated patients develop endocrine autoimmune disorders, e.g. hypophysitis, thyroiditis, adrenal disease.",292,"Stamatouli AM, Quandt Z, Perdigoto AL et al (2018) Collateral damage: insulin-dependent diabetes induced with checkpoint inhibitors. Diabetes 67(8):1471-1480. https://doi.org/10.2337/dbi18-0002"
e8,e64,LOCATED_IN,"In islets from non-diabetic donors, the group of Cilio found that most (80%) immune cells are CD3+ T cells, 80% of which had a central/effector memory phenotype expressing the CD69 and CD103 markers of tissue residency.",311,"Radenkovic M, Uvebrant K, Skog O et al (2017) Characterization of resident lymphocytes in human pancreatic islets. Clin Exp Immunol 187(3):418-427. https://doi.org/10.1111/cei.12892"
e73,e11,BIOMARKER_FOR,following residual insulin secretion by measuring C-peptide release after a glucose challenge.,448,"Sims EK, Evans-Molina C, Tersey SA, Eizirik DL, Mirmira RG (2018) Biomarkers of islet beta cell stress and death in type 1 diabetes. Diabetologia 61(11):2259-2265. https://doi.org/10.1007/s00125-018-4712-1"
e27,e11,BIOMARKER_FOR,circulating proinsulin is now widely accepted as one such biomarker.,450,"Sims EK, Evans-Molina C, Tersey SA, Eizirik DL, Mirmira RG (2018) Biomarkers of islet beta cell stress and death in type 1 diabetes. Diabetologia 61(11):2259-2265. https://doi.org/10.1007/s00125-018-4712-1"
e43,e11,BIOMARKER_FOR,"Other products released by beta cells (e.g. GAD65, IAPP, microRNAs) are under scrutiny.",451,"Sims EK, Evans-Molina C, Tersey SA, Eizirik DL, Mirmira RG (2018) Biomarkers of islet beta cell stress and death in type 1 diabetes. Diabetologia 61(11):2259-2265. https://doi.org/10.1007/s00125-018-4712-1"
e74,e11,BIOMARKER_FOR,"Other products released by beta cells (e.g. GAD65, IAPP, microRNAs) are under scrutiny.",451,"Sims EK, Evans-Molina C, Tersey SA, Eizirik DL, Mirmira RG (2018) Biomarkers of islet beta cell stress and death in type 1 diabetes. Diabetologia 61(11):2259-2265. https://doi.org/10.1007/s00125-018-4712-1"
e75,e11,BIOMARKER_FOR,circulating biomarkers of beta cell stress may be complementary to immune biomarkers such as autoantibodies.,446,"Sims EK, Evans-Molina C, Tersey SA, Eizirik DL, Mirmira RG (2018) Biomarkers of islet beta cell stress and death in type 1 diabetes. Diabetologia 61(11):2259-2265. https://doi.org/10.1007/s00125-018-4712-1"
e76,e11,BIOMARKER_FOR,the detection of DNA species carrying beta cell-specific methylation marks and released upon cell death.,453,
e78,e49,TREATS,"ursodeoxycholic acid, a bile acid used to reduce cholestasis which can also function as a chaperone to quell ER stress.",481,"Engin F, Yermalovich A, Nguyen T et al (2013) Restoration of the unfolded protein response in pancreatic beta cells protects mice against type 1 diabetes. Sci Transl Med 5(211):211ra156. https://doi.org/10.1126/scitranslmed.3006534"
e79,e45,INHIBITS,"verapamil, an anti-hypertensive, anti-arrhythmic drug that inhibits thioredoxin-interacting protein (TXNIP), a pro-oxidative factor that activates the inflammasome.",483,"Ovalle F, Grimes T, Xu G et al (2018) Verapamil and beta cell function in adults with recent-onset type 1 diabetes. Nat Med 24(8):1108-1112. https://doi.org/10.1038/s41591-018-0089-4"
e45,e51,ACTIVATES,"thioredoxin-interacting protein (TXNIP), a pro-oxidative factor that activates the inflammasome.",483,"Ovalle F, Grimes T, Xu G et al (2018) Verapamil and beta cell function in adults with recent-onset type 1 diabetes. Nat Med 24(8):1108-1112. https://doi.org/10.1038/s41591-018-0089-4"
e80,e11,TREATS,Glucagon-like peptide 1 (GLP-1) agonists have also been shown to have beneficial effects on beta cells in rodent models.,485,"Kielgast U, Holst JJ, Madsbad S (2011) Antidiabetic actions of endogenous and exogenous GLP-1 in type 1 diabetic patients with and without residual beta-cell function. Diabetes 60(5):1599-1607. https://doi.org/10.2337/db10-1790"
e83,e37,INHIBITS,"Other agents under study target IFN-alpha signalling pathways in beta cells, e.g. JAK/TYK2/STAT inhibitors.",489,"Coomans de Brachene A, Dos Santos RS, Marroqui L et al (2018) IFN-alpha induces a preferential long-lasting expression of MHC class I in human pancreatic beta cells. Diabetologia 61(3):636-640. https://doi.org/10.1007/s00125-017-4536-4 | Colli ML, Hill JLE, Marroqui L et al (2018) PDL1 is expressed in the islets of people with type 1 diabetes and is up-regulated by interferons-alpha and-gamma via IRF1 induction. EBioMedicine 36:367-375. https://doi.org/10.1016/j.ebiom.2018.09.040 | Trivedi PM, Graham KL, Scott NA et al (2017) Repurposed JAK1/JAK2 inhibitor reverses established autoimmune insulitis in NOD mice. Diabetes 66(6):1650-1660. https://doi.org/10.2337/db16-1250"
e84,e11,TRIGGERS,bone marrow transplantation from a HLA-identical type 1 diabetic sibling into a non-diabetic recipient led to the development of type 1 diabetes.,512,"Lampeter EF, Homberg M, Quabeck K et al (1993) Transfer of insulin-dependent diabetes between HLA-identical siblings by bone marrow transplantation. Lancet 341(8855):1243-1244. https://doi.org/10.1016/0140-6736(93)91148-f"
e1,e27,RELEASES,"stressed beta cells also release high amounts of proinsulin, which has a longer half-life than insulin and binds poorly to the insulin receptor.",350,
e86,e11,PREDISPOSES_TO,"Gene variants that may predispose individuals to this vulnerability have been identified, e.g. MDA5, TYK2, PTPN2.",24,
e87,e11,PREDISPOSES_TO,"Gene variants that may predispose individuals to this vulnerability have been identified, e.g. MDA5, TYK2, PTPN2.",24,
e88,e11,PREDISPOSES_TO,"Gene variants that may predispose individuals to this vulnerability have been identified, e.g. MDA5, TYK2, PTPN2.",24,
e61,e49,CAUSES,"impaired proinsulin processing that affects stressed beta cells, which may promote their immunogenicity by further favouring ER stress and HLA Class I (HLA-I) presentation of proinsulin peptides.",87,"Rodriguez-Calvo T, Zapardiel-Gonzalo J, Amirian N et al (2017) Increase in pancreatic proinsulin and preservation of beta-cell mass in autoantibody-positive donors prior to type 1 diabetes onset. Diabetes 66(5):1334-1345. https://doi.org/10.2337/db16-1343 | Wasserfall C, Nick HS, Campbell-Thompson M et al (2017) Persistence of pancreatic insulin mRNA expression and proinsulin protein in type 1 diabetes pancreata. Cell Metab 26(3):568-575. https://doi.org/10.1016/j.cmet.2017.08.013"
e29,e53,ASSOCIATED_WITH,These proteins are major contributors to the HLA-I peptidome presented by beta cells and recognised by T cells.,186,"Gonzalez-Duque S, Azoury ME, Colli ML et al (2018) Conventional and neo-antigenic peptides presented by beta cells are targeted by circulating naive CD8+ T cells in type 1 diabetic and healthy donors. Cell Metab 28(6):946-960. https://doi.org/10.1016/j.cmet.2018.07.007"
e30,e53,ASSOCIATED_WITH,These proteins are major contributors to the HLA-I peptidome presented by beta cells and recognised by T cells.,186,"Gonzalez-Duque S, Azoury ME, Colli ML et al (2018) Conventional and neo-antigenic peptides presented by beta cells are targeted by circulating naive CD8+ T cells in type 1 diabetic and healthy donors. Cell Metab 28(6):946-960. https://doi.org/10.1016/j.cmet.2018.07.007"
e31,e53,ASSOCIATED_WITH,These proteins are major contributors to the HLA-I peptidome presented by beta cells and recognised by T cells.,186,"Gonzalez-Duque S, Azoury ME, Colli ML et al (2018) Conventional and neo-antigenic peptides presented by beta cells are targeted by circulating naive CD8+ T cells in type 1 diabetic and healthy donors. Cell Metab 28(6):946-960. https://doi.org/10.1016/j.cmet.2018.07.007"
e32,e53,ASSOCIATED_WITH,These proteins are major contributors to the HLA-I peptidome presented by beta cells and recognised by T cells.,186,"Gonzalez-Duque S, Azoury ME, Colli ML et al (2018) Conventional and neo-antigenic peptides presented by beta cells are targeted by circulating naive CD8+ T cells in type 1 diabetic and healthy donors. Cell Metab 28(6):946-960. https://doi.org/10.1016/j.cmet.2018.07.007"
e64,e65,LOCATED_IN,The encounter between immune cells and beta cells is favoured by the rich vascularisation of islets.,227,
e67,e65,LOCATED_IN,"activated immune cells, likely primed in pancreatic lymph nodes (pLNs), can readily cross the vascular endothelium.",234,
e9,e13,INHIBITS,"near absence of regulatory T cells compared with other organs, irrespective of disease status. This may represent another feature making islets more vulnerable to autoimmunity.",322,"Radenkovic M, Uvebrant K, Skog O et al (2017) Characterization of resident lymphocytes in human pancreatic islets. Clin Exp Immunol 187(3):418-427. https://doi.org/10.1111/cei.12892"
e37,e17,ASSOCIATED_WITH,"IFN-alpha plays a key role in early insulitis by linking the activation of innate and adaptive immunity, as documented in other autoimmune diseases such as lupus.",263,
e45,e63,TRIGGERS,"thioredoxin-interacting protein (TXNIP), a pro-oxidative factor that activates the inflammasome.",483,"Ovalle F, Grimes T, Xu G et al (2018) Verapamil and beta cell function in adults with recent-onset type 1 diabetes. Nat Med 24(8):1108-1112. https://doi.org/10.1038/s41591-018-0089-4"
e70,e64,LOCATED_IN,"secretory granules also contain antigenic insulin peptides, which, together with intact granule proteins, may provide another source of T cell sensitisation at a distance.",355,"Wan X, Zinselmeyer BH, Zakharov PN et al (2018) Pancreatic islets communicate with lymphoid tissues via exocytosis of insulin peptides. Nature 560(7716):107-111. https://doi.org/10.1038/s41586-018-0341-6"
e1,e26,EXPRESSES,"Following nutrient stimulation, (pro)insulin synthesis by beta cells is increased by more than ten-fold, representing nearly 50% of total beta cell protein production.",124,
